vehicle_make,vehicle_model,vehicle_year,part_name,sample_vin, part_number,category,condition,quality_grade,rarity_level,min_price,max_price,stock,reserved_stock,lead_time_days
Mercedes,E-Class,2010,Alternator,66596J4SHYFATSSHZ,ALT-ME2010-0,Electrical,Refurbished,B,Limited,351,533,13,0,9
BMW,3 Series,2010,Power Steering Pump,24UURDPLSVPXGYX32,POW-BM2010-1,Steering,Used,A,Normal,48,90,32,0,8
Mercedes,GLC,2012,Brake Pads,TF865TB6HPM12SWAR,BRA-ME2012-2,Brakes,Used,C,Rare,117,160,2,0,3
Mercedes,E-Class,2012,Control Arm,SMJLTRNF0MHWKWCZ7,CON-ME2012-3,Suspension,Used,C,Rare,205,305,11,0,7
Nissan,Sentra,2019,Timing Belt Kit,FMN6X9V78GJVT6VGR,TIM-NI2019-4,Engine,Refurbished,C,Rare,188,336,6,0,2
BMW,3 Series,2012,Wheel Bearing,SS5KEESA5SAHLC1MG,WHE-BM2012-5,Drivetrain,New,B,Limited,193,312,34,0,3
Ford,F-150,2019,Radiator,MXYKK7KDTXNPAU8Y4,RAD-FO2019-6,Cooling,New,B,Limited,412,522,25,0,4
Kia,Sorento,2018,Tail Light Assembly,PSVPYSFZDFG4V5T5S,TAI-KI2018-7,Lighting,New,B,Normal,268,480,39,0,10
Chevrolet,Equinox,2017,Battery,HK9JMTUCN52FH5D8F,BAT-CH2017-8,Electrical,Refurbished,A,Normal,193,338,21,0,5
Ford,Focus,2011,Shock Absorber,N16AFX15JT8U0K1LP,SHO-FO2011-9,Suspension,Used,B,Limited,227,300,31,0,7
Honda,CR-V,2013,Fuel Pump,WEEDFF9Y1NEZC54CV,FUE-HO2013-10,Fuel,Refurbished,B,Limited,295,527,20,0,7
Hyundai,Sonata,2011,Battery,S0NJNR6AJSXTGEC96,BAT-HY2011-11,Electrical,Used,B,Rare,337,511,2,0,8
Nissan,Rogue,2018,Timing Belt Kit,5DFZ9FAVYZB3R3NWL,TIM-NI2018-12,Engine,New,C,Limited,70,104,16,0,7
Chevrolet,Silverado,2017,Spark Plug Set,8A12CJZUKXJZX1HZ1,SPA-CH2017-13,Engine,New,B,Limited,245,397,23,0,9
Mercedes,E-Class,2023,Air Filter,EHWG2U2487SL38WHC,AIR-ME2023-14,Engine,New,A,Rare,118,157,37,0,8
Nissan,Sentra,2023,Wheel Bearing,S3689SX0S40G8AVUG,WHE-NI2023-15,Drivetrain,Used,B,Limited,258,497,33,0,5
Hyundai,Sonata,2014,Air Filter,V5EKN28L4SR00HS1K,AIR-HY2014-16,Engine,New,C,Normal,396,662,16,0,10
Chevrolet,Silverado,2011,Battery,CGFE5WHZDEHCNP66F,BAT-CH2011-17,Electrical,New,A,Limited,76,109,12,0,4
Kia,Optima,2021,Battery,77UEND5YFBUJDML7V,BAT-KI2021-18,Electrical,Refurbished,C,Limited,153,295,6,0,1
Honda,Pilot,2012,Alternator,PGXLLL0PNHGKAYYFX,ALT-HO2012-19,Electrical,New,B,Limited,234,374,17,0,4
Mercedes,GLC,2012,Fuel Injector,P2NVBAMBXFXK8H81K,FUE-ME2012-20,Fuel,Used,C,Normal,67,125,4,0,9
BMW,5 Series,2020,Strut Assembly,XU7YFNRL5S8WXB6CX,STR-BM2020-21,Suspension,Refurbished,B,Rare,310,557,17,0,7
